age,income,loan_amount,credit_score,employment_years,debt_ratio,num_of_past_defaults,loan_purpose,default
59,19112.05,11917.56,675,2,0.088,0,教育,0
49,60888.87,20429.0,579,14,0.536,0,消费,1
35,59743.92,8944.26,714,13,0.034,0,消费,0
63,96463.42,22141.38,715,22,0.405,0,创业,0
28,72342.01,10807.59,820,3,0.375,0,创业,0
41,58452.56,7536.15,693,9,0.133,0,车贷,0
59,63017.26,22627.44,704,10,0.29,0,教育,0
39,87514.48,4063.09,693,10,0.323,0,消费,0
43,60939.14,5838.32,611,7,0.2,0,房贷,0
31,49639.7,4387.86,747,22,0.09,0,教育,0
31,58934.55,2287.94,656,22,0.498,0,房贷,0
44,85695.32,13300.79,646,8,0.688,0,消费,0
56,75915.63,7640.06,651,7,0.411,0,创业,0
60,65973.9,16153.21,655,11,0.097,0,房贷,0
44,69213.86,1000.0,626,16,0.063,0,消费,0
23,52685.67,2458.34,675,22,0.244,0,消费,0
42,60733.11,12438.42,653,14,0.201,0,消费,0
22,50407.3,24492.29,647,18,0.408,0,消费,0
44,58514.86,15217.27,694,19,0.676,1,房贷,1
64,94615.92,6990.18,665,5,0.227,0,车贷,0
50,41286.82,1000.0,621,4,0.41,0,房贷,1
58,49848.21,6493.31,607,7,0.092,0,创业,0
22,37405.43,11638.88,667,17,0.228,0,教育,0
41,32640.01,1000.0,608,20,0.749,1,创业,1
53,60891.02,1686.35,603,20,0.493,0,教育,1
32,51412.6,5730.77,604,14,0.205,0,教育,1
42,103757.16,9812.03,678,2,0.628,0,消费,0
64,58777.38,11538.14,744,13,0.085,1,消费,0
45,93366.73,6807.62,684,14,0.108,0,房贷,0
69,86296.14,16299.92,722,12,0.508,0,车贷,0
47,60403.01,13060.01,655,20,0.388,0,房贷,0
62,111422.98,8854.46,670,19,0.615,0,消费,0
48,70907.75,17472.09,776,20,0.411,0,消费,0
36,98286.2,16776.5,718,8,0.266,0,房贷,0
35,95725.13,1000.0,726,22,0.239,0,车贷,0
67,74122.26,11727.77,642,16,0.148,1,教育,0
64,81524.88,19567.21,660,18,0.451,0,教育,0
23,78729.57,20988.66,688,24,0.317,0,教育,0
57,39826.25,15152.72,618,3,0.25,0,创业,1
27,66260.39,10017.05,495,19,0.381,0,消费,1
41,88633.44,15581.22,688,9,0.482,0,房贷,0
29,98576.1,18866.07,727,21,0.375,0,车贷,0
59,49145.93,12984.57,664,2,0.39,0,车贷,0
38,76634.29,13943.14,618,18,0.241,0,车贷,0
24,68319.14,9876.67,637,8,0.596,0,消费,1
45,62406.77,1000.0,518,4,0.216,0,车贷,1
34,72832.06,10517.9,637,13,0.344,0,教育,1
29,69795.94,6244.53,582,6,0.367,0,教育,0
46,76910.97,6271.67,611,20,0.556,1,车贷,1
22,96717.77,24187.59,578,5,0.266,0,车贷,1
40,82250.81,20088.24,570,23,0.476,0,消费,1
48,71833.01,1000.0,590,7,0.128,0,消费,0
67,106021.75,2778.53,704,1,0.084,0,房贷,0
27,89418.45,8909.72,624,24,0.47,0,消费,0
64,62967.23,6554.63,582,13,0.335,0,消费,0
28,38223.35,14698.06,713,21,0.129,0,消费,0
67,43267.73,1429.53,669,6,0.268,1,消费,1
55,85531.11,20147.52,495,2,0.423,0,消费,1
34,51133.13,11625.95,730,19,0.105,0,房贷,0
37,42822.78,9105.65,665,21,0.346,0,车贷,0
56,48322.12,11878.28,714,22,0.542,0,消费,0
60,49877.55,8451.18,644,5,0.584,0,消费,0
24,83714.25,1000.0,772,20,0.44,0,车贷,0
22,61551.67,12101.37,633,13,0.367,0,消费,0
26,34807.76,9273.66,475,11,0.616,0,房贷,1
62,65682.99,3887.12,598,17,0.594,0,消费,1
24,69889.85,21328.15,695,11,0.071,1,消费,0
49,54454.59,17690.22,671,6,0.301,0,房贷,0
38,90429.47,32730.28,651,4,0.131,0,消费,0
46,55739.34,19096.04,591,11,0.117,1,教育,1
64,89383.43,6530.8,661,8,0.399,0,车贷,0
54,78129.22,4300.79,659,10,0.49,1,创业,1
30,85385.32,7798.4,658,3,0.372,0,房贷,0
56,40831.88,6333.66,698,13,0.209,0,教育,0
34,67162.82,12924.66,673,11,0.453,0,消费,0
51,63837.78,1000.0,642,17,0.213,0,消费,0
68,33715.86,17501.94,590,6,0.259,0,房贷,1
35,89311.34,12775.17,755,22,0.189,0,消费,0
28,47017.18,16525.95,799,0,0.657,0,房贷,0
34,51589.51,2274.75,782,12,0.383,0,消费,0
43,42707.05,14096.85,709,15,0.26,0,房贷,0
60,80426.1,23043.0,543,4,0.049,0,消费,1
41,31429.55,4685.69,534,18,0.117,0,消费,1
36,78593.25,4453.23,622,24,0.327,0,房贷,0
65,87979.31,18051.64,656,8,0.374,0,房贷,1
38,76817.93,3763.07,653,22,0.344,2,车贷,0
67,80677.83,10017.09,674,8,0.379,0,创业,0
44,81710.02,24543.73,563,11,0.516,0,教育,1
46,44112.66,4573.81,773,17,0.673,0,创业,0
45,96564.17,25127.76,765,23,0.127,0,房贷,0
65,54878.32,9145.86,568,9,0.047,0,房贷,0
61,63539.47,2469.79,530,16,0.122,0,创业,1
49,57681.98,17131.49,654,18,0.609,0,消费,0
35,75813.93,12915.86,748,23,0.214,0,消费,0
65,53163.18,12112.03,658,10,0.065,0,创业,0
21,66472.15,5465.89,678,15,0.156,1,创业,0
45,37822.44,12853.85,629,7,0.124,0,房贷,0
27,90622.63,1000.0,670,23,0.33,1,房贷,0
29,79756.3,13859.5,726,14,0.258,1,房贷,0
44,58570.29,23026.62,689,10,0.449,0,消费,0
21,54678.72,1000.0,700,6,0.361,0,车贷,0
64,79181.82,8542.41,544,1,0.2,1,消费,1
28,49439.55,4565.56,810,18,0.088,0,消费,0
44,67758.04,1000.0,544,8,0.765,0,消费,1
